plant_name,n()
Aloysia gratissima,12
Baccharis pingraea,52
Carduus acanthoides,186
Cirsium vulgare,78
Condalia microphylla,30
Cypella herbertii,24
Descurania argentina,38
Diplotaxis tenuifolia,80
Dipsacus sp.,22
Gaillardia megapotamica,46
Glandularia hookeriana,18
Hirschfeldia incana,532
Lycium chilense,24
Mentha pulegium,30
Nierembergia aristata,34
Nothoscordum euosimum,30
Oxalis violeta,6
Physalis viscosa,16
Prosopidastrum globosum,22
Senecio pulcher,16
Sisyrinchium platense,44
Solanum sisymbriifolium,8
Sphaeralcea crispa,16
Stemodia lanceolata,20
Thelesperma megapotamicum,12
Turnera sidioides,84
Verbena intermedia,94
